,species,spp_code,sex,sex_code,ward,county,OD1,OD2,finalod,positivity,result,cchf,age,age_code,id3,id4,herd,ele,slop,mrain,ndvi,lulc,arid,dem,lc,bio1,bio3,bio12,tempmin,tempmax,tempav,hummin,hummax,humav,vphmin,vphmax,vphav
1,cattle,2,female,1,Kinna,Isiolo,1.45,1.468,1.459,135.1551644,Positive,1,adults,1,16,16,16,629,0.569476008,103.3820038,0.798263431,grassland,2728,629,120,1.143207858,2.35612953,0.039239344,22.73879129,27.56441441,25.26090408,40.15547682,75.70942777,56.65738144,7.035199406,21.51497625,14.23302275
2,cattle,2,male,0,Kinna,Isiolo,0.044,0.049,0.0465,4.307549792,Negative,0,adults,1,16,16,16,629,0.569476008,103.3820038,0.798263431,grassland,2728,629,120,1.143207858,2.35612953,0.039239344,22.73879129,27.56441441,25.26090408,40.15547682,75.70942777,56.65738144,7.035199406,21.51497625,14.23302275
3,cattle,2,male,0,Kinna,Isiolo,0.141,0.137,0.139,12.87633164,Negative,0,adults,1,16,16,16,629,0.569476008,103.3820038,0.798263431,grassland,2728,629,120,1.143207858,2.35612953,0.039239344,22.73879129,27.56441441,25.26090408,40.15547682,75.70942777,56.65738144,7.035199406,21.51497625,14.23302275
4,cattle,2,female,1,Kinna,Isiolo,0.136,0.129,0.1325,12.27420102,Negative,0,adults,1,16,16,16,629,0.569476008,103.3820038,0.798263431,grassland,2728,629,120,1.143207858,2.35612953,0.039239344,22.73879129,27.56441441,25.26090408,40.15547682,75.70942777,56.65738144,7.035199406,21.51497625,14.23302275
5,cattle,2,female,1,Kinna,Isiolo,0.233,0.26,0.2465,22.83464567,Negative,0,adults,1,16,16,16,629,0.569476008,103.3820038,0.798263431,grassland,2728,629,120,1.143207858,2.35612953,0.039239344,22.73879129,27.56441441,25.26090408,40.15547682,75.70942777,56.65738144,7.035199406,21.51497625,14.23302275
6,cattle,2,male,0,Kinna,Isiolo,1.837,1.821,1.829,169.4302918,Positive,1,calves,0,14,14,14,610,0.585358977,106.2399979,0.848607481,shrub,2586,610,120,1.159868966,2.313595871,-0.058861568,22.93666439,27.80399679,25.49150621,39.74011353,75.44774487,55.94184296,7.179438425,22.00966631,14.69160047
7,cattle,2,male,0,Kinna,Isiolo,1.663,1.623,1.643,152.2000926,Positive,1,calves,0,14,14,14,610,0.585358977,106.2399979,0.848607481,shrub,2586,610,120,1.159868966,2.313595871,-0.058861568,22.93666439,27.80399679,25.49150621,39.74011353,75.44774487,55.94184296,7.179438425,22.00966631,14.69160047
8,goats,3,female,1,Kinna,Isiolo,0.068,0.071,0.0695,6.669865643,Negative,0,adults,1,29,29,29,706,0.388365,54.53010178,0.76932019,grassland,2337,706,100,1.149960162,2.442373208,-0.038618523,22.71287476,27.53476781,25.33766046,38.68103431,75.47763857,54.89637997,7.039695834,22.10151233,14.95863849
9,goats,3,female,1,Kinna,Isiolo,0.161,0.149,0.155,14.87523992,Negative,0,adults,1,29,29,29,706,0.388365,54.53010178,0.76932019,grassland,2337,706,100,1.149960162,2.442373208,-0.038618523,22.71287476,27.53476781,25.33766046,38.68103431,75.47763857,54.89637997,7.039695834,22.10151233,14.95863849
10,sheep,1,female,1,Kinna,Isiolo,0.112,0.096,0.104,10.33797217,Negative,0,adults,1,40,40,40,732,0.551074028,62.62639999,0.792307675,grassland,2354,732,130,1.149960162,2.442373208,-0.038618523,22.64056012,27.44798172,25.26375953,38.67984879,75.58023237,54.96980294,6.975014828,21.97955466,14.86220972
11,sheep,1,female,1,Kinna,Isiolo,0.061,0.063,0.062,5.950095969,Negative,0,adults,1,40,40,40,732,0.551074028,62.62639999,0.792307675,grassland,2354,732,130,1.149960162,2.442373208,-0.038618523,22.64056012,27.44798172,25.26375953,38.67984879,75.58023237,54.96980294,6.975014828,21.97955466,14.86220972
12,sheep,1,female,1,Kinna,Isiolo,0.191,0.169,0.18,17.27447217,Negative,0,adults,1,40,40,40,732,0.551074028,62.62639999,0.792307675,grassland,2354,732,130,1.149960162,2.442373208,-0.038618523,22.64056012,27.44798172,25.26375953,38.67984879,75.58023237,54.96980294,6.975014828,21.97955466,14.86220972
13,sheep,1,male,0,Kinna,Isiolo,0.063,0.06,0.0615,5.902111324,Negative,0,adults,1,40,40,40,732,0.551074028,62.62639999,0.792307675,grassland,2354,732,130,1.149960162,2.442373208,-0.038618523,22.64056012,27.44798172,25.26375953,38.67984879,75.58023237,54.96980294,6.975014828,21.97955466,14.86220972
14,sheep,1,male,0,Kinna,Isiolo,0.065,0.056,0.0605,5.806142035,Negative,0,adults,1,40,40,40,732,0.551074028,62.62639999,0.792307675,grassland,2354,732,130,1.149960162,2.442373208,-0.038618523,22.64056012,27.44798172,25.26375953,38.67984879,75.58023237,54.96980294,6.975014828,21.97955466,14.86220972
15,goats,3,female,1,Kinna,Isiolo,0.074,0.087,0.0805,7.725527831,Negative,0,adults,1,40,40,40,732,0.551074028,62.62639999,0.792307675,grassland,2354,732,130,1.149960162,2.442373208,-0.038618523,22.64056012,27.44798172,25.26375953,38.67984879,75.58023237,54.96980294,6.975014828,21.97955466,14.86220972
16,goats,3,female,1,Kinna,Isiolo,0.114,0.103,0.1085,10.41266795,Negative,0,adults,1,40,40,40,732,0.551074028,62.62639999,0.792307675,grassland,2354,732,130,1.149960162,2.442373208,-0.038618523,22.64056012,27.44798172,25.26375953,38.67984879,75.58023237,54.96980294,6.975014828,21.97955466,14.86220972
17,goats,3,female,1,Kinna,Isiolo,0.201,0.201,0.201,19.28982726,Negative,0,young_adults,2,40,40,40,732,0.551074028,62.62639999,0.792307675,grassland,2354,732,130,1.149960162,2.442373208,-0.038618523,22.64056012,27.44798172,25.26375953,38.67984879,75.58023237,54.96980294,6.975014828,21.97955466,14.86220972
18,goats,3,female,1,Kinna,Isiolo,0.081,0.081,0.081,7.773512476,Negative,0,young_adults,2,40,40,40,732,0.551074028,62.62639999,0.792307675,grassland,2354,732,130,1.149960162,2.442373208,-0.038618523,22.64056012,27.44798172,25.26375953,38.67984879,75.58023237,54.96980294,6.975014828,21.97955466,14.86220972
19,goats,3,female,1,Kinna,Isiolo,0.057,0.058,0.0575,5.518234165,Negative,0,adults,1,40,40,40,732,0.551074028,62.62639999,0.792307675,grassland,2354,732,130,1.149960162,2.442373208,-0.038618523,22.64056012,27.44798172,25.26375953,38.67984879,75.58023237,54.96980294,6.975014828,21.97955466,14.86220972
20,goats,3,female,1,Kinna,Isiolo,0.075,0.07,0.0725,6.957773512,Negative,0,adults,1,39,39,39,732,0.551074028,62.62639999,0.681553423,grassland,2354,732,130,1.149960162,2.442373208,-0.038618523,22.64056012,27.44798172,25.26375953,38.67984879,75.58023237,54.96980294,6.975014828,21.97955466,14.86220972
21,goats,3,male,0,Kinna,Isiolo,0.08,0.073,0.0765,7.341650672,Negative,0,young_adults,2,39,39,39,732,0.551074028,62.62639999,0.681553423,grassland,2354,732,130,1.149960162,2.442373208,-0.038618523,22.64056012,27.44798172,25.26375953,38.67984879,75.58023237,54.96980294,6.975014828,21.97955466,14.86220972
22,goats,3,female,1,Kinna,Isiolo,0.233,0.232,0.2325,22.31285988,Negative,0,adults,1,39,39,39,732,0.551074028,62.62639999,0.681553423,grassland,2354,732,130,1.149960162,2.442373208,-0.038618523,22.64056012,27.44798172,25.26375953,38.67984879,75.58023237,54.96980294,6.975014828,21.97955466,14.86220972
23,goats,3,male,0,Kinna,Isiolo,0.065,0.069,0.067,6.429942418,Negative,0,adults,1,39,39,39,732,0.551074028,62.62639999,0.681553423,grassland,2354,732,130,1.149960162,2.442373208,-0.038618523,22.64056012,27.44798172,25.26375953,38.67984879,75.58023237,54.96980294,6.975014828,21.97955466,14.86220972
24,goats,3,female,1,Kinna,Isiolo,0.666,0.612,0.639,61.3243762,Positive,1,adults,1,39,39,39,732,0.551074028,62.62639999,0.681553423,grassland,2354,732,130,1.149960162,2.442373208,-0.038618523,22.64056012,27.44798172,25.26375953,38.67984879,75.58023237,54.96980294,6.975014828,21.97955466,14.86220972
25,sheep,1,female,1,Kinna,Isiolo,0.042,0.042,0.042,4.030710173,Negative,0,adults,1,39,39,39,732,0.551074028,62.62639999,0.681553423,grassland,2354,732,130,1.149960162,2.442373208,-0.038618523,22.64056012,27.44798172,25.26375953,38.67984879,75.58023237,54.96980294,6.975014828,21.97955466,14.86220972
26,sheep,1,female,1,Kinna,Isiolo,0.063,0.063,0.063,6.046065259,Negative,0,adults,1,39,39,39,732,0.551074028,62.62639999,0.681553423,grassland,2354,732,130,1.149960162,2.442373208,-0.038618523,22.64056012,27.44798172,25.26375953,38.67984879,75.58023237,54.96980294,6.975014828,21.97955466,14.86220972
27,sheep,1,male,0,Kinna,Isiolo,0.145,0.136,0.1405,13.48368522,Negative,0,adults,1,39,39,39,732,0.551074028,62.62639999,0.681553423,grassland,2354,732,130,1.149960162,2.442373208,-0.038618523,22.64056012,27.44798172,25.26375953,38.67984879,75.58023237,54.96980294,6.975014828,21.97955466,14.86220972
28,sheep,1,female,1,Kinna,Isiolo,0.312,0.228,0.27,25.91170825,Negative,0,adults,1,39,39,39,732,0.551074028,62.62639999,0.681553423,grassland,2354,732,130,1.149960162,2.442373208,-0.038618523,22.64056012,27.44798172,25.26375953,38.67984879,75.58023237,54.96980294,6.975014828,21.97955466,14.86220972
29,sheep,1,female,1,Kinna,Isiolo,0.065,0.057,0.061,5.854126679,Negative,0,adults,1,39,39,39,732,0.551074028,62.62639999,0.681553423,grassland,2354,732,130,1.149960162,2.442373208,-0.038618523,22.64056012,27.44798172,25.26375953,38.67984879,75.58023237,54.96980294,6.975014828,21.97955466,14.86220972
30,camels,0,female,1,Kinna,Isiolo,1.881,1.767,1.824,175.0479846,Positive,1,adults,1,38,38,38,721,0.832413971,54.53010178,0.560082376,grassland,2351,721,130,1.149960162,2.442373208,-0.038618523,22.70834686,27.52469716,25.33671123,38.60382689,75.48971465,54.83372268,7.029433474,22.10550002,14.976022
31,camels,0,female,1,Kinna,Isiolo,2.004,1.845,1.9245,184.6928983,Positive,1,adults,1,38,38,38,721,0.832413971,54.53010178,0.560082376,grassland,2351,721,130,1.149960162,2.442373208,-0.038618523,22.70834686,27.52469716,25.33671123,38.60382689,75.48971465,54.83372268,7.029433474,22.10550002,14.976022
32,camels,0,female,1,Kinna,Isiolo,1.182,1.132,1.157,115.0099404,Positive,1,young_adults,2,38,38,38,721,0.832413971,54.53010178,0.560082376,grassland,2351,721,130,1.149960162,2.442373208,-0.038618523,22.70834686,27.52469716,25.33671123,38.60382689,75.48971465,54.83372268,7.029433474,22.10550002,14.976022
33,camels,0,female,1,Kinna,Isiolo,1.222,1.19,1.206,115.7389635,Positive,1,calves,0,38,38,38,721,0.832413971,54.53010178,0.560082376,grassland,2351,721,130,1.149960162,2.442373208,-0.038618523,22.70834686,27.52469716,25.33671123,38.60382689,75.48971465,54.83372268,7.029433474,22.10550002,14.976022
34,camels,0,female,1,Kinna,Isiolo,2.133,2.177,2.155,206.8138196,Positive,1,adults,1,38,38,38,721,0.832413971,54.53010178,0.560082376,grassland,2351,721,130,1.149960162,2.442373208,-0.038618523,22.70834686,27.52469716,25.33671123,38.60382689,75.48971465,54.83372268,7.029433474,22.10550002,14.976022
35,goats,3,male,0,Kinna,Isiolo,0.056,0.056,0.056,5.37428023,Negative,0,adults,1,29,29,29,706,0.388365,54.53010178,0.76932019,grassland,2337,706,100,1.149960162,2.442373208,-0.038618523,22.71287476,27.53476781,25.33766046,38.68103431,75.47763857,54.89637997,7.039695834,22.10151233,14.95863849
36,goats,3,male,0,Kinna,Isiolo,0.051,0.051,0.051,4.894433781,Negative,0,adults,1,29,29,29,706,0.388365,54.53010178,0.76932019,grassland,2337,706,100,1.149960162,2.442373208,-0.038618523,22.71287476,27.53476781,25.33766046,38.68103431,75.47763857,54.89637997,7.039695834,22.10151233,14.95863849
37,sheep,1,female,1,Kinna,Isiolo,0.046,0.046,0.046,4.742268041,Negative,0,adults,1,29,29,29,706,0.388365,54.53010178,0.76932019,grassland,2337,706,100,1.149960162,2.442373208,-0.038618523,22.71287476,27.53476781,25.33766046,38.68103431,75.47763857,54.89637997,7.039695834,22.10151233,14.95863849
38,sheep,1,female,1,Kinna,Isiolo,0.119,0.121,0.12,12.37113402,Negative,0,adults,1,29,29,29,706,0.388365,54.53010178,0.76932019,grassland,2337,706,100,1.149960162,2.442373208,-0.038618523,22.71287476,27.53476781,25.33766046,38.68103431,75.47763857,54.89637997,7.039695834,22.10151233,14.95863849
39,sheep,1,female,1,Kinna,Isiolo,0.102,0.107,0.1045,10.77319588,Negative,0,adults,1,29,29,29,706,0.388365,54.53010178,0.76932019,grassland,2337,706,100,1.149960162,2.442373208,-0.038618523,22.71287476,27.53476781,25.33766046,38.68103431,75.47763857,54.89637997,7.039695834,22.10151233,14.95863849
40,sheep,1,male,0,Kinna,Isiolo,0.062,0.043,0.0525,5.412371134,Negative,0,adults,1,29,29,29,706,0.388365,54.53010178,0.76932019,grassland,2337,706,100,1.149960162,2.442373208,-0.038618523,22.71287476,27.53476781,25.33766046,38.68103431,75.47763857,54.89637997,7.039695834,22.10151233,14.95863849
41,sheep,1,male,0,Kinna,Isiolo,0.069,0.069,0.069,7.113402062,Negative,0,adults,1,29,29,29,706,0.388365,54.53010178,0.76932019,grassland,2337,706,100,1.149960162,2.442373208,-0.038618523,22.71287476,27.53476781,25.33766046,38.68103431,75.47763857,54.89637997,7.039695834,22.10151233,14.95863849
42,camels,0,female,1,Kinna,Isiolo,1.882,1.852,1.867,174.5675549,Positive,1,adults,1,29,29,29,693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.71287476,27.53476781,25.33766046,38.68103431,75.47763857,54.89637997,7.039695834,22.10151233,14.95863849
43,camels,0,female,1,Kinna,Isiolo,1.948,2.017,1.9825,185.3669939,Positive,1,adults,1,29,29,29,693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.71287476,27.53476781,25.33766046,38.68103431,75.47763857,54.89637997,7.039695834,22.10151233,14.95863849
