Species,species_code,Sex,OD1,OD2,Final_OD,Positivity,CCHF,cchf,age,park,family
buffalo,1,female,2.038,2.161,2.0995,185.1410935,1,Positive,adult,shaba_reserve,Bovidae
oryx,1,female,1.76,1.718,1.739,224.2424242,1,Positive,adult,samburu_reserve,Bovidae
warthog,0,male,0.063,0.065,0.064,5.643738977,0,Negative,adult,samburu_reserve,Non-bovidae
warthog,0,male,0.049,0.055,0.052,4.585537919,0,Negative,adult,samburu_reserve,Non-bovidae
buffalo,1,male,2.043,2.093,2.068,182.3633157,1,Positive,adult,shaba_reserve,Bovidae
buffalo,1,male,1.001,0.982,0.9915,87.43386243,1,Positive,sub_adult,buffalo_sprint_reserve,Bovidae
warthog,0,female,0.051,0.047,0.049,4.320987654,0,Negative,sub_adult,buffalo_sprint_reserve,Non-bovidae
buffalo,1,female,1.221,1.193,1.207,106.4373898,1,Positive,adult,buffalo_sprint_reserve,Bovidae
giraffe,0,male,1.701,1.517,1.609,141.8871252,1,Positive,sub_adult,samburu_reserve,Non-bovidae
buffalo,1,female,0.538,0.532,0.535,47.17813051,1,Positive,adult,buffalo_sprint_reserve,Bovidae
zebra,0,male,0.075,0.104,0.0895,7.892416226,0,Negative,sub_adult,buffalo_sprint_reserve,Non-bovidae
warthog,0,male,0.228,0.172,0.2,17.6366843,0,Negative,sub_adult,buffalo_sprint_reserve,Non-bovidae
oryx,1,male,0.09,0.069,0.0795,10.25145068,0,Negative,adult,samburu_reserve,Bovidae
waterbuck,1,male,0.053,0.055,0.054,6.963249516,0,Negative,sub_adult,shaba_reserve,Bovidae
oryx,1,female,0.096,0.098,0.097,12.50805932,0,Negative,adult,shaba_reserve,Bovidae
buffalo,1,male,0.054,0.052,0.053,4.67372134,0,Negative,adult,shaba_reserve,Bovidae
oryx,1,male,0.098,0.092,0.095,8.377425044,0,Negative,sub_adult,samburu_reserve,Bovidae
buffalo,1,male,0.051,0.054,0.0525,4.62962963,0,Negative,adult,shaba_reserve,Bovidae
oryx,1,female,1.665,1.693,1.679,148.0599647,1,Positive,adult,samburu_reserve,Bovidae
oryx,1,female,0.056,0.073,0.0645,8.3172147,0,Negative,adult,samburu_reserve,Bovidae
buffalo,1,male,0.083,0.095,0+K22:Q22.089,7.848324515,0,Negative,adult,samburu_reserve,Bovidae
giraffe,0,female,1.608,1.805,1.7065,150.4850088,1,Positive,sub_adult,shaba_reserve,Non-bovidae
oryx,1,female,2.041,2.033,2.037,262.6692456,1,Positive,adult,samburu_reserve,Bovidae
oryx,1,female,1.689,1.676,1.6825,216.9568021,1,Positive,adult,samburu_reserve,Bovidae
buffalo,1,female,0.058,0.077,0.0675,5.952380952,0,Negative,adult,shaba_reserve,Bovidae
oryx,1,female,0.048,0.065,0.0565,7.285622179,0,Negative,adult,shaba_reserve,Bovidae
oryx,1,female,1.205,1.122,1.1635,150.0322373,1,Positive,adult,samburu_reserve,Bovidae
giraffe,0,male,1.651,1.601,1.626,143.3862434,1,Positive,adult,buffalo_sprint_reserve,Non-bovidae
buffalo,1,male,0.709,0.693,0.701,61.81657848,1,Positive,adult,buffalo_sprint_reserve,Bovidae
warthog,0,male,0.063,0.064,0.0635,5.599647266,0,Negative,adult,buffalo_sprint_reserve,Non-bovidae
warthog,0,male,0.057,0.066,0.0615,5.423280423,0,Negative,adult,buffalo_sprint_reserve,Non-bovidae
zebra,0,male,0.681,0.689,0.685,60.40564374,1,Positive,sub_adult,buffalo_sprint_reserve,Non-bovidae
warthog,0,male,0.057,0.048,0.0525,4.62962963,0,Negative,adult,buffalo_sprint_reserve,Non-bovidae
warthog,0,male,1.438,1.608,1.523,134.303351,1,Positive,sub_adult,buffalo_sprint_reserve,Non-bovidae
oryx,1,male,1.347,1.371,1.359,119.8412698,1,Positive,adult,samburu_reserve,Bovidae
warthog,0,female,0.076,0.053,0.0645,5.687830688,0,Negative,sub_adult,buffalo_sprint_reserve,Non-bovidae
warthog,0,male,1.42,1.427,1.4235,125.5291005,1,Positive,adult,samburu_reserve,Non-bovidae
oryx,1,male,0.054,0.062,0.058,5.114638448,0,Negative,adult,buffalo_sprint_reserve,Bovidae
warthog,0,female,1.035,0.984,1.0095,89.02116402,1,Positive,adult,buffalo_sprint_reserve,Non-bovidae
zebra,0,male,1.176,0.917,1.0465,92.28395062,1,Positive,adult,buffalo_sprint_reserve,Non-bovidae
zebra,0,female,0.281,0.29,0.2855,25.17636684,0,Negative,adult,buffalo_sprint_reserve,Non-bovidae
zebra,0,female,1.233,1.228,1.2305,108.5097002,1,Positive,adult,buffalo_sprint_reserve,Non-bovidae
warthog,0,female,0.052,0.045,0.0485,4.276895944,0,Negative,sub_adult,buffalo_sprint_reserve,Non-bovidae
buffalo,1,male,0.818,0.81,0.814,71.78130511,1,Positive,adult,buffalo_sprint_reserve,Bovidae
warthog,0,male,0.046,0.055,0.0505,4.453262787,0,Negative,adult,samburu_reserve,Non-bovidae
giraffe,0,female,0.613,0.622,0.6175,63.1390593,1,Positive,sub_adult,samburu_reserve,Non-bovidae
giraffe,0,male,1.622,1.698,1.66,169.7341513,1,Positive,sub_adult,samburu_reserve,Non-bovidae
zebra,0,male,0.052,0.058,0.055,5.623721881,0,Negative,adult,buffalo_sprint_reserve,Non-bovidae
giraffe,0,male,0.086,0.086,0.086,8.793456033,0,Negative,sub_adult,buffalo_sprint_reserve,Non-bovidae
zebra,0,female,0.162,0.137,0.1495,15.28629857,0,Negative,adult,buffalo_sprint_reserve,Non-bovidae
zebra,0,male,0.063,0.068,0.0655,6.697341513,0,Negative,sub_adult,buffalo_sprint_reserve,Non-bovidae
zebra,0,female,0.103,0.084,0.0935,9.560327198,0,Negative,adult,buffalo_sprint_reserve,Non-bovidae
zebra,0,male,0.066,0.061,0.0635,6.492842536,0,Negative,adult,buffalo_sprint_reserve,
giraffe,0,male,2.06,1.858,1.959,200.3067485,1,Positive,adult,samburu_reserve,Non-bovidae
zebra,0,female,1.392,1.378,1.385,122.1340388,1,Positive,adult,buffalo_sprint_reserve,Non-bovidae
zebra,0,male,2.097,2.178,2.1375,218.5582822,1,Positive,adult,NA,Non-bovidae
zebra,0,female,0.349,0.327,0.338,34.5603272,1,Positive,adult,buffalo_sprint_reserve,Non-bovidae
